System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,astorm,"Alien Storm (World, 2 Players)",x,x,x,x,x,,x,x,,HORIZONTAL,1990,2,8 way,3,SEGA,joy8way,,SEGA,,,Tekken 5,1811
arcade,astyanax,"Astyanax, The",,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,3,Other,joy8way,,Jaleco,,,Wave Race 64,1812
arcade,asurabld,Asura Blade: Sword of Dynasty,x,,x,x,x,,,,,HORIZONTAL,1998,2,8 way,3,Other,joy8way,,Fuuki,,,Wave Race Blue Storm,1813
arcade,asurabus,Asura Buster: Eternal Warriors,x,,x,x,x,,,,,HORIZONTAL,2001,2,8 way,3,Other,joy8way,,Fuuki,,,Way of the Exploding Fists,1814
arcade,atetris,Tetris,x,x,x,x,x,,,,,HORIZONTAL,1988,2,4 way,1,Atari,joy3 (half4)way,,Atari Games / bootleg,,,,#N/A
arcade,athena,Athena,x,x,x,x,x,,,,,HORIZONTAL,1986,2,8 way,2,SNK,joy8way,,SNK,,,,#N/A
arcade,avengers,Avengers,x,x,x,x,x,x,x,x,x,VERTICAL,1987,2,8 way,2,Capcom,joy8way,,Capcom,,,,#N/A
arcade,avsp,Alien vs. Predator,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1994,3,8 way,3,Capcom,joy8way,,Capcom,,,,#N/A
arcade,baddudes,Bad Dudes vs. Dragonninja,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1988,2,8 way,2,Data East,joy8way,,Data East,,,,#N/A
arcade,bagman,Bagman,x,x,x,x,,,,,,VERTICAL,1982,2,4 way,1,Other,joy4way,,Valadon Automation,,,,#N/A
